user_id,tech_field,programming_languages,region,availability,goals,experience
1,IoT,"Java, Arduino",Chandigarh,Part-time availability,Connect devices to the internet,10
2,Cybersecurity,"Python, C, Metasploit, Wireshark, Nmap",Mumbai,Full-time availability,"Protect systems from cyber threats, Enhance network security, Conduct penetration testing",4
3,Game Development,"C++, Unity, Unreal Engine, C#, JavaScript",Ahmedabad,Available for projects,Work on 2D and 3D game development,10
4,Web3,"JavaScript, WebAssembly, Rust, Go",Jaipur,Part-time availability,"Create decentralized applications (DApps), Implement smart contracts",9
5,UI/UX Design,"Adobe XD, Sketch, Figma, InVision",Kolkata,Full-time availability,Create appealing user interfaces,3
6,Blockchain,Rust,Chennai,Part-time availability,"Develop blockchain-based applications, Explore cryptocurrency technologies",1
7,UI/UX Design,"Adobe XD, InVision, Sketch, Illustrator",Ahmedabad,Full-time availability,"Design for mobile and web platforms, Create appealing user interfaces",1
8,Mobile App,"Dart, Objective-C, Kotlin, Java, Swift",Hyderabad,Available for projects,"Build user-friendly mobile apps, Explore cross-platform development, Optimize app performance",6
9,Mobile App,"Objective-C, Kotlin, Java, Dart, Swift",Jaipur,Available for projects,"Build user-friendly mobile apps, Explore cross-platform development, Optimize app performance",6
10,Blockchain,Rust,Kolkata,Available for projects,Ensure security in decentralized systems,1
11,UI/UX Design,"InVision, Figma, Adobe XD, Sketch",Mumbai,Part-time availability,Design for mobile and web platforms,4
12,Mobile App,"Objective-C, Swift, Kotlin, Java",Delhi,Part-time availability,Build user-friendly mobile apps,5
13,Blockchain,"Solidity, Go, Java, Rust",Ahmedabad,Available for projects,Develop blockchain-based applications,6
14,AI,"Java, TensorFlow",Hyderabad,Part-time availability,Develop machine learning models,3
15,Full Stack,"PHP, Python, HTML/CSS",Kolkata,Part-time availability,Master both front-end and back-end development,2
16,UI/UX Design,"Illustrator, Figma, InVision, Adobe XD, Sketch",Delhi,Available for projects,Optimize user experiences,7
17,Web3,"JavaScript, Solidity, Go, Rust, WebAssembly",Chandigarh,Available for projects,Implement smart contracts,1
18,Game Development,"C#, Unity, Unreal Engine, C++",Chennai,Available for projects,"Design and code video games, Work on 2D and 3D game development",6
19,AI,"Python, Java, TensorFlow, R",Mumbai,Part-time availability,"Develop machine learning models, Work on natural language processing projects",2
20,Data Science,SAS,Chennai,Part-time availability,Analyze and visualize data,8
21,Cybersecurity,"Wireshark, Nmap, Python, Metasploit",Kolkata,Available for projects,"Conduct penetration testing, Protect systems from cyber threats",2
22,Blockchain,Java,Chennai,Part-time availability,"Explore cryptocurrency technologies, Develop blockchain-based applications",3
23,Data Science,"Matlab, SQL, R, SAS, Python",Jaipur,Full-time availability,Analyze and visualize data,6
24,UI/UX Design,"Figma, Sketch, Illustrator, InVision",Mumbai,Part-time availability,"Create appealing user interfaces, Design for mobile and web platforms",10
25,Mobile App,Objective-C,Pune,Available for projects,"Build user-friendly mobile apps, Explore cross-platform development",3
26,Blockchain,"Java, Solidity, Go, Rust, C++",Chennai,Part-time availability,Explore cryptocurrency technologies,1
27,Web3,"JavaScript, Solidity",Bangalore,Full-time availability,"Implement smart contracts, Understand blockchain technology, Create decentralized applications (DApps)",9
28,IoT,"C, Arduino",Chandigarh,Part-time availability,"Develop IoT solutions, Ensure device security",1
29,Mobile App,Swift,Bangalore,Full-time availability,"Explore cross-platform development, Build user-friendly mobile apps, Optimize app performance",2
30,Web3,"Rust, JavaScript, WebAssembly",Bangalore,Part-time availability,"Understand blockchain technology, Create decentralized applications (DApps)",8
31,AI,"PyTorch, TensorFlow, Java, R",Mumbai,Part-time availability,"Contribute to AI research, Develop machine learning models, Work on natural language processing projects",8
32,Data Science,"SAS, SQL, R",Jaipur,Full-time availability,"Predict trends and insights, Apply statistical methods, Analyze and visualize data",6
33,Data Science,"Python, Matlab",Ahmedabad,Part-time availability,Analyze and visualize data,9
34,Blockchain,"Rust, Java, Go",Mumbai,Full-time availability,"Develop blockchain-based applications, Ensure security in decentralized systems",6
35,Blockchain,Java,Delhi,Full-time availability,"Develop blockchain-based applications, Explore cryptocurrency technologies, Ensure security in decentralized systems",4
36,Cybersecurity,"Python, Metasploit, Wireshark, C, Nmap",Delhi,Part-time availability,"Enhance network security, Conduct penetration testing",9
37,UI/UX Design,"Figma, Adobe XD, Sketch, Illustrator, InVision",Mumbai,Part-time availability,Optimize user experiences,7
38,IoT,"Python, Raspberry Pi",Hyderabad,Full-time availability,Develop IoT solutions,10
39,IoT,"Python, Java, Raspberry Pi, Arduino",Delhi,Available for projects,"Ensure device security, Connect devices to the internet, Develop IoT solutions",7
40,Full Stack,"PHP, Python, JavaScript, HTML/CSS",Chennai,Available for projects,Optimize website performance,7
41,Full Stack,"Python, HTML/CSS, JavaScript",Kolkata,Part-time availability,Build responsive web applications,10
42,AI,TensorFlow,Mumbai,Part-time availability,"Develop machine learning models, Work on natural language processing projects",7
43,Cybersecurity,"Metasploit, Nmap, Python, Wireshark, C",Jaipur,Available for projects,Enhance network security,9
44,Web3,"WebAssembly, Solidity",Delhi,Available for projects,"Implement smart contracts, Create decentralized applications (DApps), Understand blockchain technology",3
45,Mobile App,"Kotlin, Objective-C, Java, Swift",Ahmedabad,Full-time availability,"Build user-friendly mobile apps, Explore cross-platform development, Optimize app performance",3
46,Blockchain,"C++, Go, Rust, Solidity, Java",Mumbai,Available for projects,"Develop blockchain-based applications, Explore cryptocurrency technologies, Ensure security in decentralized systems",1
47,Data Science,"SAS, Matlab",Chandigarh,Full-time availability,"Analyze and visualize data, Predict trends and insights",10
48,UI/UX Design,Sketch,Bangalore,Part-time availability,"Design for mobile and web platforms, Optimize user experiences, Create appealing user interfaces",2
49,UI/UX Design,Adobe XD,Chandigarh,Available for projects,Design for mobile and web platforms,3
50,UI/UX Design,"Figma, Adobe XD, Sketch",Pune,Part-time availability,"Design for mobile and web platforms, Create appealing user interfaces, Optimize user experiences",8
51,Cybersecurity,Wireshark,Pune,Full-time availability,Protect systems from cyber threats,7
52,Cybersecurity,"C, Wireshark",Chennai,Available for projects,Protect systems from cyber threats,6
53,Data Science,SQL,Delhi,Available for projects,"Analyze and visualize data, Predict trends and insights",2
54,Mobile App,"Java, Objective-C, Kotlin",Delhi,Available for projects,Optimize app performance,5
55,Cybersecurity,"Metasploit, Nmap, Python, C",Kolkata,Full-time availability,Conduct penetration testing,5
56,AI,"TensorFlow, Java, PyTorch",Chandigarh,Available for projects,Work on natural language processing projects,10
57,Data Science,"Matlab, Python, SAS, R, SQL",Pune,Full-time availability,"Apply statistical methods, Analyze and visualize data",3
58,IoT,"Java, C",Bangalore,Part-time availability,"Ensure device security, Connect devices to the internet",5
59,Data Science,"R, Python",Bangalore,Part-time availability,Apply statistical methods,6
60,IoT,"C, Python",Mumbai,Part-time availability,Connect devices to the internet,10
61,Mobile App,"Swift, Java, Dart, Objective-C, Kotlin",Pune,Full-time availability,"Explore cross-platform development, Build user-friendly mobile apps, Optimize app performance",1
62,UI/UX Design,"Sketch, Illustrator, Figma, Adobe XD",Jaipur,Full-time availability,Design for mobile and web platforms,4
63,IoT,"Arduino, Java, C",Ahmedabad,Available for projects,Ensure device security,8
64,Data Science,"Matlab, SAS",Chandigarh,Full-time availability,Analyze and visualize data,7
65,Data Science,"SAS, Matlab, Python, R",Chennai,Full-time availability,"Apply statistical methods, Analyze and visualize data",9
66,Blockchain,C++,Bangalore,Part-time availability,Ensure security in decentralized systems,10
67,Cybersecurity,"C, Metasploit, Wireshark",Hyderabad,Part-time availability,"Conduct penetration testing, Protect systems from cyber threats",8
68,Data Science,R,Chennai,Part-time availability,"Analyze and visualize data, Predict trends and insights",9
69,Game Development,"Unreal Engine, Unity, C++",Mumbai,Part-time availability,"Game engine expertise, Design and code video games, Work on 2D and 3D game development",4
70,AI,"R, Python, Java",Kolkata,Available for projects,"Contribute to AI research, Develop machine learning models, Work on natural language processing projects",7
71,Cybersecurity,"Metasploit, Nmap",Kolkata,Part-time availability,"Conduct penetration testing, Enhance network security",3
72,AI,PyTorch,Kolkata,Full-time availability,"Work on natural language processing projects, Contribute to AI research",9
